"구분","브랜드명"
"2019","이차돌, 혼자라고굶지마라! 1인용, 크린토피아, 바른치킨, 반딧불이, 한앤둘치킨, 푸라닭, 크라운호프, 월드크리닝, 핸즈커피, 커피베이, 토프레소, 에듀플렉스, 깐깐한족발, 자담치킨, 메가MGC커피, 오레시피, 한마음정육식당, 수유리우동집, 강정구의 피자생각, 커브스, 아소비, 유가네닭갈비, 꼬지사께, 세븐스타코인노래연습장, 티바두마리치킨, 김형제고기의철학, 얌샘김밥, 33떡볶이"
"2018","이비가짬뽕, 핸즈커피, 월드크리닝, 메가엠지씨커피, 에듀플렉스, 월드크리닝, 이비가짬뽕, 커브스, 커피베이, 피자마루, 핸즈커피, 카페루앤비, 할매손충무김밥, 꼬지사께, 토프레소, 덤인, 곽두리쪽갈비, 깐깐한 족발, 꼬지사께, 세븐스타코인 노래연습장, 수유리우동집, 얌샘김밥, 참이맛감자탕, 카페루앤비, 토프레소, 할매손 충무김밥"
"2017","맛깔참죽, 소담애, 시루향기, 요거프레소, 용우동, 이삭토스트, 핸즈커피, 이비가짬뽕, 못된 고양이, 메가 커피, 에듀 플렉스, 이화수 전통육개장, 커피베이, 한촌설렁탕, 피자마루, 커브스, 꼬지사께, 더진국, 땅땅치킨, 엘리팝, 유가네 닭갈비, 이바돔 감자탕, 도이첸, 바보스, 카페앤루비, 월드클리닝, 개미인력개발, IGA 마트, 1인용, 깐깐한 족발, 수유리 우동집, 얌샘김밥, 세븐스타코인노래방, 곽두리쪽갈비, 참이맛 감자탕, 마루회덮밥, 안경매니저, 덤인"
