house_mnnmb,house_nm,spl_loca,spl_scale,ovhspz_yn,regtare_yn,prceilsys_yn,rebdproj_yn,pubhusdist_yn,lrscl_hussdedist_yn,npln_prvpubhus_yn,model_no,house_stl,splyar,gnrl_spl_hh_cnt,specl_spl_hh_cnt,mltchdrn_hshld_cnt,nwwds_hshld_cnt,lfe_frst_hshld_cnt,oldparnts_hshld_cnt,instt_rcmn_cnt,instt_rcmn_etc_cnt,rlct_instt_cnt,spl_amt,loan_posbl_amt
2020000001,SH 마곡지구 9단지,서울특별시 강서구 마곡동 744,962,Y,Y,Y,N,N,N,N,01,059.0000H,84.0000,118,315,43,130,87,21,31,3,0,52515,26257.5
2020000001,SH 마곡지구 9단지,서울특별시 강서구 마곡동 744,962,Y,Y,Y,N,N,N,N,02,084.0000H,117.0000,122,355,48,143,95,24,34,11,0,69750,34875.0
2020000001,SH 마곡지구 9단지,서울특별시 강서구 마곡동 744,962,Y,Y,Y,N,N,N,N,03,084.0000N,117.3500,12,40,5,15,10,3,7,0,0,67124,33562.0
2020000005,경북도청신도시 코오롱하늘채,경상북도 안동시 풍천면 갈전리 1177,869,N,N,N,N,N,N,N,06,074.9600B,99.3446,19,60,3,8,8,2,8,0,31,6100,3660.0
2020000005,경북도청신도시 코오롱하늘채,경상북도 안동시 풍천면 갈전리 1177,869,N,N,N,N,N,N,N,11,084.9750T,111.0531,7,15,1,2,2,0,2,0,8,7600,4560.0
2020000005,경북도청신도시 코오롱하늘채,경상북도 안동시 풍천면 갈전리 1177,869,N,N,N,N,N,N,N,10,084.9152B,112.1158,45,147,9,19,19,5,19,0,76,7900,4740.0
2020000005,경북도청신도시 코오롱하늘채,경상북도 안동시 풍천면 갈전리 1177,869,N,N,N,N,N,N,N,09,084.8636A,111.7368,47,163,10,21,21,6,21,0,84,7900,4740.0
2020000005,경북도청신도시 코오롱하늘채,경상북도 안동시 풍천면 갈전리 1177,869,N,N,N,N,N,N,N,08,077.7980 ,102.7478,8,16,1,2,2,0,2,0,9,6600,3960.0
2020000005,경북도청신도시 코오롱하늘채,경상북도 안동시 풍천면 갈전리 1177,869,N,N,N,N,N,N,N,07,077.8980 ,102.8715,5,20,1,3,3,0,3,0,10,6600,3960.0
2020000005,경북도청신도시 코오롱하늘채,경상북도 안동시 풍천면 갈전리 1177,869,N,N,N,N,N,N,N,04,074.9780 ,99.2593,20,56,3,7,7,2,7,0,30,6100,3660.0
2020000005,경북도청신도시 코오롱하늘채,경상북도 안동시 풍천면 갈전리 1177,869,N,N,N,N,N,N,N,05,074.9780A,99.2593,23,78,5,10,10,3,10,0,40,6100,3660.0
2020000005,경북도청신도시 코오롱하늘채,경상북도 안동시 풍천면 갈전리 1177,869,N,N,N,N,N,N,N,03,060.9808C,81.2477,14,38,2,5,5,1,5,0,20,3600,2160.0
2020000005,경북도청신도시 코오롱하늘채,경상북도 안동시 풍천면 갈전리 1177,869,N,N,N,N,N,N,N,02,060.9326B,81.0835,19,55,3,7,7,2,7,0,29,3600,2160.0
2020000005,경북도청신도시 코오롱하늘채,경상북도 안동시 풍천면 갈전리 1177,869,N,N,N,N,N,N,N,01,060.9358A,81.1546,6,8,0,1,1,0,1,0,5,3600,2160.0
2020000007,학성동 동남하이빌아파트,울산광역시 중구 구역전길 24-10 (학성동),69,N,N,N,N,N,N,N,03,084.8313C,111.2519,15,0,0,0,0,0,0,0,0,35500,21300.0
2020000007,학성동 동남하이빌아파트,울산광역시 중구 구역전길 24-10 (학성동),69,N,N,N,N,N,N,N,02,084.1366B,108.9053,15,0,0,0,0,0,0,0,0,35500,21300.0
2020000007,학성동 동남하이빌아파트,울산광역시 중구 구역전길 24-10 (학성동),69,N,N,N,N,N,N,N,04,084.8655D,109.4733,24,0,0,0,0,0,0,0,0,35500,21300.0
2020000007,학성동 동남하이빌아파트,울산광역시 중구 구역전길 24-10 (학성동),69,N,N,N,N,N,N,N,01,084.2405A,110.5391,15,0,0,0,0,0,0,0,0,35500,21300.0
2020000009,의왕 오전 동아루미체,경기도 의왕시 전주남이길 23-26 (오전동),65,N,N,N,N,N,N,N,02,074.8900 ,103.1000,12,10,2,4,0,1,3,0,0,45600,27360.0
2020000009,의왕 오전 동아루미체,경기도 의왕시 전주남이길 23-26 (오전동),65,N,N,N,N,N,N,N,01,074.9100 ,103.2600,27,16,4,8,0,1,3,0,0,45600,27360.0
2020000010,양주옥정유림노르웨이숲,경기도 양주시 옥정동 1097 (옥정택지개발지구 A-20(1)블록),1140,N,N,Y,N,Y,Y,N,04,084.9903B,113.1997,127,94,22,44,0,6,22,0,0,37560,22536.0
2020000010,양주옥정유림노르웨이숲,경기도 양주시 옥정동 1097 (옥정택지개발지구 A-20(1)블록),1140,N,N,Y,N,Y,Y,N,01,072.3007A,95.5026,21,14,3,7,0,1,3,0,0,32490,19494.0
2020000010,양주옥정유림노르웨이숲,경기도 양주시 옥정동 1097 (옥정택지개발지구 A-20(1)블록),1140,N,N,Y,N,Y,Y,N,02,075.9964A,101.8017,154,116,27,54,0,8,27,0,0,34690,20814.0
2020000010,양주옥정유림노르웨이숲,경기도 양주시 옥정동 1097 (옥정택지개발지구 A-20(1)블록),1140,N,N,Y,N,Y,Y,N,03,084.9994A,113.5286,352,262,61,122,0,18,61,0,0,37560,22536.0
2020000028,대연 삼정그린코아 더 베스트,부산광역시 남구 수영로325번길 175 (대연동),337,N,N,N,N,N,N,N,01,059.9842A,83.3690,127,95,33,33,0,7,22,0,0,40350,24210.0
2020000028,대연 삼정그린코아 더 베스트,부산광역시 남구 수영로325번길 175 (대연동),337,N,N,N,N,N,N,N,02,071.3132B,98.1679,65,50,17,17,0,4,12,0,0,47876,28725.6
2020000040,매교역 푸르지오 SK VIEW(수원),경기도 수원시 팔달구 정조로 688-8 (매교동),1795,N,N,N,Y,N,N,N,07,099.9000 ,134.3300,92,13,10,0,0,3,0,0,0,74100,44460.0
2020000040,매교역 푸르지오 SK VIEW(수원),경기도 수원시 팔달구 정조로 688-8 (매교동),1795,N,N,N,Y,N,N,N,04,074.6900A,101.2300,110,78,18,37,0,5,18,0,0,57300,34380.0
2020000040,매교역 푸르지오 SK VIEW(수원),경기도 수원시 팔달구 정조로 688-8 (매교동),1795,N,N,N,Y,N,N,N,02,059.8800B,82.6000,67,47,11,22,0,3,11,0,0,45800,27480.0
2020000040,매교역 푸르지오 SK VIEW(수원),경기도 수원시 팔달구 정조로 688-8 (매교동),1795,N,N,N,Y,N,N,N,03,059.7800C,81.8400,21,14,3,7,0,1,3,0,0,46800,28080.0
2020000040,매교역 푸르지오 SK VIEW(수원),경기도 수원시 팔달구 정조로 688-8 (매교동),1795,N,N,N,Y,N,N,N,06,084.9700 ,115.8400,405,305,71,142,0,21,71,0,0,65200,39120.0
2020000040,매교역 푸르지오 SK VIEW(수원),경기도 수원시 팔달구 정조로 688-8 (매교동),1795,N,N,N,Y,N,N,N,05,074.9400B,102.3400,220,163,38,76,0,11,38,0,0,56200,33720.0
2020000040,매교역 푸르지오 SK VIEW(수원),경기도 수원시 팔달구 정조로 688-8 (매교동),1795,N,N,N,Y,N,N,N,08,110.1500 ,149.8500,24,2,2,0,0,0,0,0,0,81800,49080.0
2020000040,매교역 푸르지오 SK VIEW(수원),경기도 수원시 팔달구 정조로 688-8 (매교동),1795,N,N,N,Y,N,N,N,01,059.9400A,81.9100,135,99,23,46,0,7,23,0,0,46800,28080.0
2020000041,두호 SK VIEW 푸르지오 1단지,"경상북도 포항시 북구 두호로 66 (두호동, 두호 SK VIEW 푸르지오)",91,N,N,N,N,N,N,N,03,084.9900A,113.0100,5,0,0,0,0,0,0,0,0,31500,18900.0
2020000041,두호 SK VIEW 푸르지오 1단지,"경상북도 포항시 북구 두호로 66 (두호동, 두호 SK VIEW 푸르지오)",91,N,N,N,N,N,N,N,02,074.9900B,98.4300,12,4,1,2,0,0,1,0,0,29350,17610.0
2020000041,두호 SK VIEW 푸르지오 1단지,"경상북도 포항시 북구 두호로 66 (두호동, 두호 SK VIEW 푸르지오)",91,N,N,N,N,N,N,N,01,074.9900A,99.5400,7,1,0,1,0,0,0,0,0,29220,17532.0
2020000041,두호 SK VIEW 푸르지오 1단지,"경상북도 포항시 북구 두호로 66 (두호동, 두호 SK VIEW 푸르지오)",91,N,N,N,N,N,N,N,05,084.9900C,108.6700,1,0,0,0,0,0,0,0,0,31090,18654.0
2020000041,두호 SK VIEW 푸르지오 1단지,"경상북도 포항시 북구 두호로 66 (두호동, 두호 SK VIEW 푸르지오)",91,N,N,N,N,N,N,N,04,084.9900B,110.9800,36,25,6,12,0,1,6,0,0,33500,20100.0
2020000046,e편한세상 금산 센터하임,충청남도 금산군 금산읍 비범1길 31-7,461,N,N,N,N,N,N,N,04,084.9416 ,109.5902,111,0,0,0,0,0,0,0,0,2857,1714.2
2020000046,e편한세상 금산 센터하임,충청남도 금산군 금산읍 비범1길 31-7,461,N,N,N,N,N,N,N,02,075.9943 ,100.7147,165,0,0,0,0,0,0,0,0,2564,1538.4
2020000046,e편한세상 금산 센터하임,충청남도 금산군 금산읍 비범1길 31-7,461,N,N,N,N,N,N,N,03,084.8668 ,110.9764,132,0,0,0,0,0,0,0,0,2910,1746.0
2020000046,e편한세상 금산 센터하임,충청남도 금산군 금산읍 비범1길 31-7,461,N,N,N,N,N,N,N,01,075.9665 ,97.4730,53,0,0,0,0,0,0,0,0,2495,1497.0
2020000047,서면 스위트엠 골드에비뉴,부산광역시 부산진구 범일로 158 (범천동),225,N,N,N,N,N,N,N,05,059.4219B,78.7849,11,6,2,3,0,0,1,0,0,33053,19831.8
2020000047,서면 스위트엠 골드에비뉴,부산광역시 부산진구 범일로 158 (범천동),225,N,N,N,N,N,N,N,02,049.6661L,66.5786,6,2,1,1,0,0,0,0,0,28427,17056.2
2020000047,서면 스위트엠 골드에비뉴,부산광역시 부산진구 범일로 158 (범천동),225,N,N,N,N,N,N,N,12,059.9754K,79.0163,6,2,1,1,0,0,0,0,0,34211,20526.6
2020000047,서면 스위트엠 골드에비뉴,부산광역시 부산진구 범일로 158 (범천동),225,N,N,N,N,N,N,N,11,059.9269J,78.8862,6,2,1,1,0,0,0,0,0,34378,20626.8
2020000047,서면 스위트엠 골드에비뉴,부산광역시 부산진구 범일로 158 (범천동),225,N,N,N,N,N,N,N,01,049.2536I,66.4958,11,6,2,3,0,0,1,0,0,27233,16339.8
2020000047,서면 스위트엠 골드에비뉴,부산광역시 부산진구 범일로 158 (범천동),225,N,N,N,N,N,N,N,03,054.7214H,73.1393,13,12,4,5,0,1,2,0,0,30981,18588.6
2020000047,서면 스위트엠 골드에비뉴,부산광역시 부산진구 범일로 158 (범천동),225,N,N,N,N,N,N,N,10,059.3095G,78.6477,13,12,4,5,0,1,2,0,0,34830,20898.0
2020000047,서면 스위트엠 골드에비뉴,부산광역시 부산진구 범일로 158 (범천동),225,N,N,N,N,N,N,N,09,059.7679F,79.7286,13,12,4,5,0,1,2,0,0,33633,20179.8
2020000047,서면 스위트엠 골드에비뉴,부산광역시 부산진구 범일로 158 (범천동),225,N,N,N,N,N,N,N,08,059.6932E,79.0477,13,12,4,5,0,1,2,0,0,33804,20282.4
2020000047,서면 스위트엠 골드에비뉴,부산광역시 부산진구 범일로 158 (범천동),225,N,N,N,N,N,N,N,07,059.9754D,79.0163,10,7,3,3,0,0,1,0,0,32965,19779.0
2020000047,서면 스위트엠 골드에비뉴,부산광역시 부산진구 범일로 158 (범천동),225,N,N,N,N,N,N,N,06,059.9769C,79.3762,13,12,4,5,0,1,2,0,0,33369,20021.4
2020000047,서면 스위트엠 골드에비뉴,부산광역시 부산진구 범일로 158 (범천동),225,N,N,N,N,N,N,N,04,059.9511A,78.4313,13,12,4,5,0,1,2,0,0,33740,20244.0
2020000052,무주에코르 10년 공공임대주택,전북 무주군 설천면 소천리 983-18번지,80,N,N,N,N,N,N,N,01,044.9690 ,61.4470,8,32,4,12,8,2,6,0,0,4594,2756.4
2020000052,무주에코르 10년 공공임대주택,전북 무주군 설천면 소천리 983-18번지,80,N,N,N,N,N,N,N,02,075.9870 ,103.3120,8,32,4,12,8,2,6,0,0,9545,5727.0
2020000057,두호 SK VIEW 푸르지오 2단지,"경상북도 포항시 북구 두호로 65 (두호동, 두호 SK VIEW 푸르지오)",95,N,N,N,N,N,N,N,05,084.9900B,111.5700,29,17,4,8,0,1,4,0,0,33500,20100.0
2020000057,두호 SK VIEW 푸르지오 2단지,"경상북도 포항시 북구 두호로 65 (두호동, 두호 SK VIEW 푸르지오)",95,N,N,N,N,N,N,N,02,074.9900B,98.9500,22,11,3,5,0,0,3,0,0,30270,18162.0
2020000057,두호 SK VIEW 푸르지오 2단지,"경상북도 포항시 북구 두호로 65 (두호동, 두호 SK VIEW 푸르지오)",95,N,N,N,N,N,N,N,04,084.9900A,113.6000,4,0,0,0,0,0,0,0,0,31090,18654.0
2020000057,두호 SK VIEW 푸르지오 2단지,"경상북도 포항시 북구 두호로 65 (두호동, 두호 SK VIEW 푸르지오)",95,N,N,N,N,N,N,N,03,074.9900C,99.3000,1,0,0,0,0,0,0,0,0,27810,16686.0
2020000057,두호 SK VIEW 푸르지오 2단지,"경상북도 포항시 북구 두호로 65 (두호동, 두호 SK VIEW 푸르지오)",95,N,N,N,N,N,N,N,01,074.9900A,100.0600,8,3,1,1,0,0,1,0,0,28310,16986.0
2020000060,위례신도시 A3-10BL 중흥S-클래스,경기도 하남시 위례순환로 320 (학암동),475,Y,Y,Y,N,N,Y,N,07,236.9647T,293.0996,8,0,0,0,0,0,0,0,0,169000,84500.0
2020000060,위례신도시 A3-10BL 중흥S-클래스,경기도 하남시 위례순환로 320 (학암동),475,Y,Y,Y,N,N,Y,N,03,101.7512C,127.3948,40,5,4,0,0,1,0,0,0,75800,37900.0
2020000060,위례신도시 A3-10BL 중흥S-클래스,경기도 하남시 위례순환로 320 (학암동),475,Y,Y,Y,N,N,Y,N,02,101.7047B,126.7106,75,13,10,0,0,3,0,0,0,75500,37750.0
2020000060,위례신도시 A3-10BL 중흥S-클래스,경기도 하남시 위례순환로 320 (학암동),475,Y,Y,Y,N,N,Y,N,01,101.9311A,126.4136,217,31,24,0,0,7,0,0,0,75500,37750.0
2020000060,위례신도시 A3-10BL 중흥S-클래스,경기도 하남시 위례순환로 320 (학암동),475,Y,Y,Y,N,N,Y,N,04,130.5433 ,161.5083,76,0,0,0,0,0,0,0,0,97800,48900.0
2020000060,위례신도시 A3-10BL 중흥S-클래스,경기도 하남시 위례순환로 320 (학암동),475,Y,Y,Y,N,N,Y,N,05,145.8703T,180.4006,8,0,0,0,0,0,0,0,0,105000,52500.0
2020000060,위례신도시 A3-10BL 중흥S-클래스,경기도 하남시 위례순환로 320 (학암동),475,Y,Y,Y,N,N,Y,N,06,172.5351P,214.7489,2,0,0,0,0,0,0,0,0,159000,79500.0
2020000076,서귀포 동홍동 센트레빌,제주특별자치도 서귀포시 중산간동로 8027 (동홍동),212,N,N,N,N,N,N,N,04,084.9757 ,109.4832,18,13,3,6,0,1,3,0,0,46210,27726.0
2020000076,서귀포 동홍동 센트레빌,제주특별자치도 서귀포시 중산간동로 8027 (동홍동),212,N,N,N,N,N,N,N,02,078.9617 ,101.4771,15,8,2,4,0,0,2,0,0,42600,25560.0
2020000076,서귀포 동홍동 센트레빌,제주특별자치도 서귀포시 중산간동로 8027 (동홍동),212,N,N,N,N,N,N,N,03,084.9196 ,109.2194,61,43,10,20,0,3,10,0,0,48400,29040.0
2020000076,서귀포 동홍동 센트레빌,제주특별자치도 서귀포시 중산간동로 8027 (동홍동),212,N,N,N,N,N,N,N,01,059.8882 ,77.4255,33,21,5,10,0,1,5,0,0,33370,20022.0
2020000080,평창 엘리엇아파트,강원도 평창군 봉평면 안흥동1길 25-4 (엘이엇아파트),150,N,N,N,N,N,N,N,01,059.5500 ,63.7900,150,0,0,0,0,0,0,0,0,18300,10980.0
2020000086,구월 뷰그리안,"인천광역시 남동구 구월로265번길 8 (구월동, 우정아파트)",40,N,N,N,N,N,N,N,01,056.3108 ,75.2424,40,0,0,0,0,0,0,0,0,29960,17976.0
2020000087,인천 검단신도시 AB3-1블록 대성베르힐,인천광역시 서구 당하동 검단신도시  AB3-1블록 ,745,N,N,Y,N,N,Y,N,03,110.3995 ,135.4036,185,27,21,0,0,6,0,0,0,49800,29880.0
2020000087,인천 검단신도시 AB3-1블록 대성베르힐,인천광역시 서구 당하동 검단신도시  AB3-1블록 ,745,N,N,Y,N,N,Y,N,02,084.4003B,110.3916,73,51,12,24,0,3,12,0,0,41530,24918.0
2020000087,인천 검단신도시 AB3-1블록 대성베르힐,인천광역시 서구 당하동 검단신도시  AB3-1블록 ,745,N,N,Y,N,N,Y,N,01,084.9376A,110.5717,236,173,40,81,0,12,40,0,0,42530,25518.0
2020000101,과천제이드자이,경기도 과천시 옥탑로 59 (갈현동) 262-1,647,Y,Y,Y,N,Y,Y,N,02,049.9700B,68.4600,28,99,13,38,25,6,17,0,0,45550,22775.0
2020000101,과천제이드자이,경기도 과천시 옥탑로 59 (갈현동) 262-1,647,Y,Y,Y,N,Y,Y,N,06,059.9900T,79.7200,1,1,0,1,0,0,0,0,0,52320,26160.0
2020000101,과천제이드자이,경기도 과천시 옥탑로 59 (갈현동) 262-1,647,Y,Y,Y,N,Y,Y,N,05,059.9900C,80.7300,38,149,18,56,37,10,28,0,0,53720,26860.0
2020000101,과천제이드자이,경기도 과천시 옥탑로 59 (갈현동) 262-1,647,Y,Y,Y,N,Y,Y,N,04,059.9900B,81.7800,1,2,0,1,1,0,0,0,0,52840,26420.0
2020000101,과천제이드자이,경기도 과천시 옥탑로 59 (갈현동) 262-1,647,Y,Y,Y,N,Y,Y,N,01,049.9900A,67.7500,24,80,10,31,21,5,13,0,0,45080,22540.0
2020000101,과천제이드자이,경기도 과천시 옥탑로 59 (갈현동) 262-1,647,Y,Y,Y,N,Y,Y,N,03,059.9900A,80.7300,40,184,23,67,45,11,38,0,0,54230,27115.0
2020000118,고흥 승원팰리체 더퍼스트,고흥군 고흥읍 남계리 1044번지,220,N,N,Y,N,N,N,N,01,084.9959A,108.7566,118,90,21,42,0,6,21,0,0,31500,18900.0
2020000118,고흥 승원팰리체 더퍼스트,고흥군 고흥읍 남계리 1044번지,220,N,N,Y,N,N,N,N,02,084.9547B,108.7855,7,5,1,2,0,1,1,0,0,30700,18420.0
2020000123,청라힐스자이,대구광역시 중구 남산4동 2478번지 일원,656,N,N,N,N,N,N,N,06,101.4727 ,129.6898,22,2,2,0,0,0,0,0,0,60970,36582.0
2020000123,청라힐스자이,대구광역시 중구 남산4동 2478번지 일원,656,N,N,N,N,N,N,N,01,059.8861 ,77.3309,65,44,10,21,0,3,10,0,0,36790,22074.0
2020000123,청라힐스자이,대구광역시 중구 남산4동 2478번지 일원,656,N,N,N,N,N,N,N,05,084.9892C,109.6953,108,78,18,37,0,5,18,0,0,51520,30912.0
2020000123,청라힐스자이,대구광역시 중구 남산4동 2478번지 일원,656,N,N,N,N,N,N,N,03,084.8688A,108.2567,118,86,20,40,0,6,20,0,0,51510,30906.0
2020000123,청라힐스자이,대구광역시 중구 남산4동 2478번지 일원,656,N,N,N,N,N,N,N,04,084.8634B,108.1984,14,5,1,3,0,0,1,0,0,50970,30582.0
2020000123,청라힐스자이,대구광역시 중구 남산4동 2478번지 일원,656,N,N,N,N,N,N,N,02,075.3303 ,96.4681,67,47,11,22,0,3,11,0,0,45900,27540.0
2020000166,파주연풍 양우내안애 에코하임,경기도 파주시 파주읍 연풍리 103-24번지 일원,165,N,N,N,N,N,N,N,01,059.9782A,82.1881,50,33,8,16,0,1,8,0,0,22640,13584.0
2020000166,파주연풍 양우내안애 에코하임,경기도 파주시 파주읍 연풍리 103-24번지 일원,165,N,N,N,N,N,N,N,03,059.9876C,81.4584,8,9,2,4,0,1,2,0,0,22791,13674.6
2020000166,파주연풍 양우내안애 에코하임,경기도 파주시 파주읍 연풍리 103-24번지 일원,165,N,N,N,N,N,N,N,04,059.9746D,81.6690,1,4,1,1,0,1,1,0,0,22791,13674.6
2020000166,파주연풍 양우내안애 에코하임,경기도 파주시 파주읍 연풍리 103-24번지 일원,165,N,N,N,N,N,N,N,05,074.9165 ,100.1534,2,0,0,0,0,0,0,0,0,26968,16180.8
2020000166,파주연풍 양우내안애 에코하임,경기도 파주시 파주읍 연풍리 103-24번지 일원,165,N,N,N,N,N,N,N,02,059.9868B,81.3325,33,25,6,12,0,1,6,0,0,22736,13641.6
2020000167,속초2차 아이파크,강원도 속초시 조양동 415번지 일원,578,N,N,N,N,N,N,N,06,125.8900 ,165.5700,2,0,0,0,0,0,0,0,0,65200,39120.0
2020000167,속초2차 아이파크,강원도 속초시 조양동 415번지 일원,578,N,N,N,N,N,N,N,05,123.9400 ,165.1200,2,0,0,0,0,0,0,0,0,65000,39000.0
2020000167,속초2차 아이파크,강원도 속초시 조양동 415번지 일원,578,N,N,N,N,N,N,N,04,113.2700 ,148.7500,3,0,0,0,0,0,0,0,0,58500,35100.0
2020000167,속초2차 아이파크,강원도 속초시 조양동 415번지 일원,578,N,N,N,N,N,N,N,03,084.9000B,112.6500,32,20,5,9,0,1,5,0,0,31060,18636.0
2020000167,속초2차 아이파크,강원도 속초시 조양동 415번지 일원,578,N,N,N,N,N,N,N,02,084.9200A,111.6600,189,137,32,64,0,9,32,0,0,31880,19128.0
2020000167,속초2차 아이파크,강원도 속초시 조양동 415번지 일원,578,N,N,N,N,N,N,N,01,079.3600 ,104.0900,111,80,19,37,0,5,19,0,0,29490,17694.0
2020000167,속초2차 아이파크,강원도 속초시 조양동 415번지 일원,578,N,N,N,N,N,N,N,07,156.4200 ,206.4700,2,0,0,0,0,0,0,0,0,81200,48720.0
2020000180,문수데시앙 2단지(10년임대) 예비입주자 선착순 모집,울산광역시 남구 두왕로 318 (신정동),71,N,N,N,N,N,N,N,02,059.9289B,89.2319,30,0,0,0,0,0,0,0,0,3950,2370.0
2020000180,문수데시앙 2단지(10년임대) 예비입주자 선착순 모집,울산광역시 남구 두왕로 318 (신정동),71,N,N,N,N,N,N,N,03,074.8096A,110.1056,11,0,0,0,0,0,0,0,0,4540,2724.0
2020000180,문수데시앙 2단지(10년임대) 예비입주자 선착순 모집,울산광역시 남구 두왕로 318 (신정동),71,N,N,N,N,N,N,N,01,059.8041A,88.8022,30,0,0,0,0,0,0,0,0,3920,2352.0
2020000184,평택소사벌7단지,"경기도 평택시 비전4로 175 (비전동, 뜨레휴 이곡마을7단지)",400,N,N,N,N,N,Y,N,01,074.8500A,98.7493,60,0,0,0,0,0,0,0,0,6600,3960.0
2020000184,평택소사벌7단지,"경기도 평택시 비전4로 175 (비전동, 뜨레휴 이곡마을7단지)",400,N,N,N,N,N,Y,N,03,084.9800A,112.1137,250,0,0,0,0,0,0,0,0,7950,4770.0
2020000184,평택소사벌7단지,"경기도 평택시 비전4로 175 (비전동, 뜨레휴 이곡마을7단지)",400,N,N,N,N,N,Y,N,02,084.9700A,112.1005,60,0,0,0,0,0,0,0,0,7950,4770.0
2020000184,평택소사벌7단지,"경기도 평택시 비전4로 175 (비전동, 뜨레휴 이곡마을7단지)",400,N,N,N,N,N,Y,N,04,084.9700B,112.1005,30,0,0,0,0,0,0,0,0,7950,4770.0
2020000192,승윤 노블리안 아파트,경기도 부천시 심곡로34번길 38-12 (송내동),33,N,N,N,Y,N,N,N,09,054.3100 ,75.6690,2,0,0,0,0,0,0,0,0,38913,23347.8
2020000192,승윤 노블리안 아파트,경기도 부천시 심곡로34번길 38-12 (송내동),33,N,N,N,Y,N,N,N,01,040.6190 ,57.7120,1,0,0,0,0,0,0,0,0,27933,16759.8
2020000192,승윤 노블리안 아파트,경기도 부천시 심곡로34번길 38-12 (송내동),33,N,N,N,Y,N,N,N,02,047.6560 ,67.0230,1,6,2,3,0,1,0,0,0,32642,19585.2
2020000192,승윤 노블리안 아파트,경기도 부천시 심곡로34번길 38-12 (송내동),33,N,N,N,Y,N,N,N,03,047.6000 ,67.2790,1,0,0,0,0,0,0,0,0,32563,19537.8
2020000192,승윤 노블리안 아파트,경기도 부천시 심곡로34번길 38-12 (송내동),33,N,N,N,Y,N,N,N,04,047.4120 ,68.1000,1,0,0,0,0,0,0,0,0,32960,19776.0
2020000192,승윤 노블리안 아파트,경기도 부천시 심곡로34번길 38-12 (송내동),33,N,N,N,Y,N,N,N,05,049.4070 ,69.4530,4,3,0,1,0,0,2,0,0,33405,20043.0
2020000192,승윤 노블리안 아파트,경기도 부천시 심곡로34번길 38-12 (송내동),33,N,N,N,Y,N,N,N,06,049.6140 ,70.6450,1,5,1,3,0,0,1,0,0,34833,20899.8
2020000192,승윤 노블리안 아파트,경기도 부천시 심곡로34번길 38-12 (송내동),33,N,N,N,Y,N,N,N,07,052.8270 ,73.7960,2,0,0,0,0,0,0,0,0,32369,19421.4
2020000192,승윤 노블리안 아파트,경기도 부천시 심곡로34번길 38-12 (송내동),33,N,N,N,Y,N,N,N,08,053.0050 ,74.1050,5,0,0,0,0,0,0,0,0,34522,20713.2
2020000192,승윤 노블리안 아파트,경기도 부천시 심곡로34번길 38-12 (송내동),33,N,N,N,Y,N,N,N,10,056.0370 ,79.9500,1,0,0,0,0,0,0,0,0,38454,23072.4
2020000194,포레나 부산 덕천,부산광역시 북구 의성로95번길 43 (덕천동),294,N,N,N,N,N,N,N,02,074.5539A,99.3058,26,18,4,9,0,1,4,0,0,39780,23868.0
2020000194,포레나 부산 덕천,부산광역시 북구 의성로95번길 43 (덕천동),294,N,N,N,N,N,N,N,01,059.9972 ,79.4822,86,64,15,30,0,4,15,0,0,33780,20268.0
2020000194,포레나 부산 덕천,부산광역시 북구 의성로95번길 43 (덕천동),294,N,N,N,N,N,N,N,04,074.7172C,99.7203,8,5,1,3,0,0,1,0,0,38870,23322.0
2020000194,포레나 부산 덕천,부산광역시 북구 의성로95번길 43 (덕천동),294,N,N,N,N,N,N,N,03,074.7172B,99.7203,49,38,9,17,0,3,9,0,0,39540,23724.0
2020000202,천안 청당 서희스타힐스,충청남도 천안시 동남구 청당동 259-3번지 일원,221,N,N,N,N,N,N,N,01,059.5163A,78.9796,16,13,3,6,0,1,3,0,0,22590,13554.0
2020000202,천안 청당 서희스타힐스,충청남도 천안시 동남구 청당동 259-3번지 일원,221,N,N,N,N,N,N,N,02,059.9740B,81.0054,8,9,2,4,0,1,2,0,0,22820,13692.0
2020000202,천안 청당 서희스타힐스,충청남도 천안시 동남구 청당동 259-3번지 일원,221,N,N,N,N,N,N,N,04,074.7619B,98.7123,27,21,5,10,0,1,5,0,0,27300,16380.0
2020000202,천안 청당 서희스타힐스,충청남도 천안시 동남구 청당동 259-3번지 일원,221,N,N,N,N,N,N,N,03,074.9788A,98.3780,41,25,6,12,0,1,6,0,0,28030,16818.0
2020000202,천안 청당 서희스타힐스,충청남도 천안시 동남구 청당동 259-3번지 일원,221,N,N,N,N,N,N,N,05,084.9984 ,111.2585,36,25,6,12,0,1,6,0,0,31180,18708.0
2020000214,쌍용 더 플래티넘 오목천역,경기도 수원시 권선구 오목천동 482-2번지 일원,713,N,Y,N,Y,N,N,N,01,039.9900 ,53.7600,3,0,0,0,0,0,0,0,0,25200,12600.0
2020000214,쌍용 더 플래티넘 오목천역,경기도 수원시 권선구 오목천동 482-2번지 일원,713,N,Y,N,Y,N,N,N,06,084.9500B,112.7300,70,56,13,26,0,4,13,0,0,52800,26400.0
2020000214,쌍용 더 플래티넘 오목천역,경기도 수원시 권선구 오목천동 482-2번지 일원,713,N,Y,N,Y,N,N,N,05,084.9600A,114.0000,58,43,10,20,0,3,10,0,0,51690,25845.0
